"id","category_id","code","name","slug","description","brand","frame_material","lens_material","shape","rim_type","gender","frame_color","lens_color","colors","lens_width","bridge_width","temple_length","frame_width","price","discount_price","stock_quantity","is_active","is_featured"
"1","1","KG001","Gọng kính vuông Titan nam","gong-kinh-vuong-titan-nam","Gọng kính nam cao cấp, nhẹ và bền.","Mắt Việt","Titan","","Vuông","Full viền","Nam","Đen","","Đen, Bạc","54","17","145","138","1350000","1190000","25","1","1"
"2","1","KG002","Gọng kính tròn nữ","gong-kinh-tron-nu","Thiết kế trẻ trung phù hợp nữ.","Anna","Kim loại","","Tròn","Full viền","Nữ","Vàng","","Vàng, Bạc","50","18","140","132","1190000","990000","20","1","0"
"3","1","KG003","Gọng kính chữ nhật unisex","gong-kinh-chu-nhat-unisex","Phong cách đơn giản dễ đeo.","EyePlus","Acetate","","Chữ nhật","Full viền","Unisex","Nâu","","Nâu, Đen","52","18","145","136","1450000","1250000","18","1","1"
"4","1","KG004","Gọng kính nửa viền công sở","gong-kinh-nua-vien","Thiết kế lịch sự cho dân văn phòng.","TitanPro","Titan","","Chữ nhật","Nửa viền","Nam","Xám","","Xám, Đen","55","17","145","139","1590000","1390000","15","1","0"
"5","1","KG005","Gọng kính mắt mèo nữ","gong-kinh-mat-meo-nu","Thời trang nữ tính hiện đại.","Fiona","Acetate","","Mắt mèo","Full viền","Nữ","Đỏ","","Đỏ, Đen","53","16","142","135","1680000","1490000","12","1","1"
"6","1","KG006","Gọng kính học sinh","gong-kinh-hoc-sinh","Nhẹ, bền, giá tốt.","VisionKid","TR90","","Tròn","Full viền","Unisex","Xanh","","Xanh, Đen","49","17","138","128","690000","590000","35","1","0"
"7","2","KR001","Kính râm phi công nam","kinh-ram-phi-cong-nam","Chống UV400, kiểu dáng cổ điển.","SunPro","Kim loại","Polarized","Phi công","Full viền","Nam","Đen","Xám","Đen, Xám","58","15","145","142","1550000","1350000","20","1","1"
"8","2","KR002","Kính râm vuông nam","kinh-ram-vuong-nam","Phù hợp lái xe và du lịch.","Gentle","Acetate","Polarized","Vuông","Full viền","Nam","Đen","Đen","Đen","56","18","145","140","1790000","1550000","15","1","1"
"9","2","KR003","Kính râm nữ mắt mèo","kinh-ram-nu-mat-meo","Thời trang nữ nổi bật.","Bella","Acetate","UV400","Mắt mèo","Full viền","Nữ","Đen","Nâu","Đen, Nâu","55","17","142","136","1320000","1150000","17","1","0"
"10","2","KR004","Kính râm tròn unisex","kinh-ram-tron-unisex","Phong cách trẻ trung.","Urban","Kim loại","UV400","Tròn","Full viền","Unisex","Vàng","Xanh","Vàng, Xanh","51","20","145","134","1240000","1090000","16","1","0"
"11","2","KR005","Kính râm thể thao","kinh-ram-the-thao","Dành cho hoạt động ngoài trời.","Sport","TR90","Polarized","Chữ nhật","Full viền","Nam","Đen","Khói","Đen","63","15","130","145","1650000","1490000","10","1","0"
"12","2","KR006","Kính râm gọng trong","kinh-ram-gong-trong","Phong cách Hàn Quốc.","Mira","Acetate","UV400","Oval","Full viền","Nữ","Trong","Nâu","Trong, Nâu","54","18","140","135","1180000","990000","18","1","0"
"13","3","KX001","Kính chống ánh sáng xanh basic","kinh-chong-anh-sang-xanh-basic","Bảo vệ mắt khi dùng máy tính.","BlueCare","TR90","Blue Cut","Vuông","Full viền","Unisex","Đen","","Đen","52","17","142","134","790000","650000","30","1","1"
"14","3","KX002","Kính chống ánh sáng xanh nữ","kinh-anh-sang-xanh-nu","Dành cho dân văn phòng nữ.","Office","Kim loại","Blue Cut","Tròn","Full viền","Nữ","Vàng","","Vàng","50","18","140","131","920000","790000","20","1","0"
"15","3","KX003","Kính chống ánh sáng xanh trẻ em","kinh-anh-sang-xanh-tre-em","Thiết kế cho trẻ nhỏ.","Kid","TR90","Blue Cut","Oval","Full viền","Unisex","Xanh","","Xanh","47","16","135","125","650000","550000","28","1","0"
"16","3","KX004","Kính chống ánh sáng xanh công sở","kinh-anh-sang-xanh-cong-so","Thiết kế lịch sự.","Smart","Hợp kim","Blue Cut","Chữ nhật","Nửa viền","Nam","Xám","","Xám","54","17","145","138","1090000","950000","15","1","0"
"17","3","KX005","Kính chống ánh sáng xanh gọng trong","kinh-anh-sang-xanh-gong-trong","Phong cách trẻ trung.","KGlass","Acetate","Blue Cut","Vuông","Full viền","Unisex","Trong","","Trong","51","18","143","133","990000","890000","22","1","1"
"18","4","KC001","Kính cận học sinh","kinh-can-hoc-sinh","Phù hợp học sinh sinh viên.","School","TR90","CR39","Vuông","Full viền","Unisex","Đen","","Đen","52","17","142","134","850000","720000","35","1","0"
"19","4","KC002","Kính cận titan","kinh-can-titan","Siêu nhẹ, đeo thoải mái.","Tokyo","Titan","1.56","Oval","Full viền","Unisex","Bạc","","Bạc","51","18","145","132","1750000","1550000","14","1","1"
"20","4","KC003","Kính cận nữ mắt mèo","kinh-can-nu-mat-meo","Phong cách nữ tính.","Rosie","Acetate","1.56","Mắt mèo","Full viền","Nữ","Nâu","","Nâu","53","16","140","135","1280000","1120000","16","1","0"
"21","4","KC004","Kính cận không viền","kinh-can-khong-vien","Thiết kế sang trọng.","Premium","Titan","1.60","Chữ nhật","Không viền","Nam","Bạc","","Bạc","55","18","145","138","2190000","1980000","10","1","1"
"22","4","KC005","Kính cận đổi màu","kinh-can-doi-mau","Tự động đổi màu ngoài trời.","Transition","TR90","Đổi màu","Vuông","Full viền","Unisex","Xanh","","Xanh","53","17","143","136","1980000","1790000","12","1","1"
"23","5","TK001","Tròng kính chống ánh sáng xanh","trong-kinh-blue","Tròng kính bảo vệ mắt.","Chemi","","Blue Cut","","","","","","","","","","650000","550000","40","1","0"
"24","5","TK002","Tròng kính mỏng 1.60","trong-kinh-mong","Tròng kính cao cấp.","Essilor","","1.60","","","","","","","","","","1150000","980000","30","1","1"
"25","5","TK003","Tròng kính đổi màu","trong-kinh-doi-mau","Tự động đổi màu UV.","Hoya","","Đổi màu","","","","","","","","","","1450000","1290000","20","1","1"
"26","6","PK001","Hộp đựng kính","hop-dung-kinh","Bảo vệ kính an toàn.","PK","","","","","","Nâu","","","","","","","180000","150000","50","1","0"
"27","6","PK002","Khăn lau kính","khan-lau-kinh","Khăn microfiber mềm.","PK","","","","","","Xanh","","","","","","","50000","","100","1","0"
"28","6","PK003","Dung dịch vệ sinh kính","dung-dich-ve-sinh","Làm sạch kính hiệu quả.","PK","","","","","","","","","","","","","80000","","60","1","0"
"29","6","PK004","Dây đeo kính","day-deo-kinh","Phụ kiện tiện lợi.","PK","","","","","","Đen","","","","","","","60000","","40","1","0"
"30","6","PK005","Bộ vệ sinh kính","bo-ve-sinh-kinh","Gồm khăn và dung dịch.","PK","","","","","","","","","","","","","120000","99000","45","1","0"
